user_id,bot_name,total_messages,first_message_time,last_message_time,usage_span_days
37507092,Hook_Generator_Bot,8,2025-09-13 15:38:38.800467,2025-09-13 15:38:40.583807,0
38988493,xPostGenerator_Bot,8,2025-10-19 23:45:33.709798,2025-10-19 23:46:11.941311,0
37507133,Hook_Generator_Bot,7,2025-09-13 15:38:26.136741,2025-09-13 15:38:57.002440,0
37509615,Hook_Generator_Bot,7,2025-09-13 16:27:05.003134,2025-09-13 16:39:33.099343,0
37524042,Hook_Generator_Bot,7,2025-09-13 20:47:08.262946,2025-09-13 20:50:49.404415,0
37524910,Hook_Generator_Bot,7,2025-09-13 21:06:33.359988,2025-09-13 21:59:12.735348,0
66875,Hook_Generator_Bot,7,2025-09-14 08:19:16.472139,2025-09-14 08:22:01.252545,0
37577409,Hook_Generator_Bot,7,2025-09-14 10:06:32.513577,2025-09-14 10:09:21.304118,0
37671503,Hook_Generator_Bot,7,2025-09-15 15:13:19.175179,2025-09-15 15:14:51.261534,0
37737769,Hook_Generator_Bot,7,2025-09-16 16:47:58.792294,2025-09-16 16:50:39.573691,0
38423770,Hook_Generator_Bot,7,2025-09-30 05:28:06.475880,2025-09-30 05:29:21.795985,0
38839744,Hook_Generator_Bot,7,2025-10-15 19:19:04.271628,2025-10-15 19:24:34.357296,0
37507099,Hook_Generator_Bot,6,2025-09-13 15:37:58.984836,2025-09-13 15:38:00.570357,0
37507167,Hook_Generator_Bot,6,2025-09-13 15:38:55.603662,2025-09-13 15:38:57.664156,0
37533384,Hook_Generator_Bot,6,2025-09-13 23:45:10.192807,2025-09-13 23:46:55.869467,0
38757319,myshell_thumbmaker_bot,6,2025-10-13 05:34:32.694174,2025-10-13 05:38:11.799942,0
38411463,CFLinkedinPostBot,6,2025-10-06 08:55:47.240005,2025-10-08 11:36:39.995970,2
37571219,Hook_Generator_Bot,5,2025-09-14 05:16:03.902867,2025-09-23 03:20:01.403678,8
36880251,Hook_Generator_Bot,4,2025-09-13 11:41:33.787289,2025-09-25 12:12:58.108741,12
37507123,Hook_Generator_Bot,4,2025-09-13 15:38:37.917224,2025-09-13 15:38:38.930993,0
